Prefecture;GDP;FD;Openness;FDI;Urbanization;EP_EXP;RD_EXP;RD_EMP;HM_MR;EN_DF;SO2;EN_IN;INS_CAP;RE_S;NF_S
Yamaguchi;0.66;0.62;0.07;4.87;96.08;0.05;0.055;0.081;0.07;209.6;0.0007582;1.829;23563371.00;2.4;3.9
Tokushima;0.65;0.73;0.09;7.85;74.74;0.141;0.078;0.136;0.04;353.8;0.0001666;1.848;20829402.00;0.6;5.5
Kagawa;0.59;0.85;0.13;5.2;84.59;0.057;0.072;0.085;-0.38;60.2;0.0003691;1.938;4358786.00;2.4;2.4
Ehime;0.56;1.46;0.1;6.07;90.96;0.048;0.064;0.07;-0.36;122.4;0.0006506;1.754;10363006.00;4;10.5
Kochi;0.53;0.71;0.11;13.18;82.48;0.093;0.119;0.164;-0.74;110.2;0.0002751;1.701;4412071.00;6.5;59.9
Fukuoka;0.57;1.17;0.13;4.87;88.3;0.049;0.059;0.04;-0.38;36.1;0.0001471;1.581;10783836.00;5.3;5.8
Saga;0.57;0.48;0.11;9.13;82.87;0.083;0.151;0.2;-0.28;255.9;0.0002045;2.118;16507935.00;0.8;98.8
Nagasaki;0.54;0.66;0.1;9.12;89.39;0.057;0.064;0.099;-0.27;365.5;0.0008978;1.652;27400667.00;1.3;1.3
Kumamoto;0.55;0.81;0.1;9.03;80.96;0.043;0.115;0.091;-0.28;89.7;0.0000458;1.813;9930121.00;4.1;11.7
Oita;0.6;0.6;0.09;7.07;95.34;0.063;0.079;0.099;-0.26;243.9;0.0013004;1.864;20266955.00;6.6;10.3
Miyazaki;0.53;0.77;0.11;8.2;83.92;0.05;0.1;0.149;-0.43;68.8;0.0007753;1.893;4690132.00;10.3;82.5
Kagoshima;0.55;0.74;0.12;8.29;89.03;0.05;0.103;0.114;-0.6;94.9;0.0005127;1.725;9184520.00;16.2;88.1
Okinawa;0.46;1.03;0.09;9.85;77.36;0.095;0.096;0.103;-0.87;97.8;0.0008096;1.809;7537124.00;0.7;0.7
